Região;UF;Cidade;Sexo;Faixa Etária;Data Finalização;Tempo Resposta;Nome Fantasia;Segmento de Mercado;Área;Assunto;Grupo Problema;Problema;Como Comprou Contratou;Procurou Empresa;Respondida;Situação;Avaliação Reclamação;Nota do Consumidor
SE;SP;Ribeirão Preto;F;entre 31 a 40 anos;2024-09-17;1;Hurb - Hotel Urbano;Viagens, Turismo e Hospedagem;Turismo/Viagens;Pacote / excursão / agência de turismo;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;SP;Lorena;M;entre 41 a 50 anos;2024-09-06;8;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Atendimento / SAC;SAC - Dificuldade para cancelar o serviço;Telefone;S;S;Finalizada avaliada;Não Resolvida;3
SE;MG;Contagem;F;entre 31 a 40 anos;2024-09-09;7;Vivo - Telefônica;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Internet Fixa;Cobrança / Contestação;Cobrança indevida / abusiva para alterar ou cancelar o contrato;Não comprei / contratei;S;S;Finalizada avaliada;Resolvida;4
CO;DF;Brasília;F;entre 61 a 70 anos;2024-09-02;8;Pão de Açúcar ;Supermercados;Alimentos;Supermercados e Conveniências;Vício de Qualidade;Serviço não realizado no prazo ou incompleto;Internet;S;S;Finalizada avaliada;Não Resolvida;1
NE;PI;Teresina;M;entre 21 a 30 anos;2024-09-22;4;Banco Inter (Banco Intermedium);Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Negativação indevida - desconhece motivo e/ou fornecedor;Internet;S;S;Finalizada avaliada;Resolvida;5
S ;SC;Itajaí;M;entre 41 a 50 anos;2024-09-10;4;Mercado Livre;Empresas de Intermediação de Serviços / Negócios;Demais Produtos;Móveis e Colchões;Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Internet;N;S;Finalizada avaliada;Não Resolvida;1
NE;AL;Maceió;M;entre 31 a 40 anos;2024-09-06;6;Samsung - Loja Online;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Contrato / Oferta;Oferta não cumprida / serviço não fornecido/ venda enganosa / publicidade enganosa;Internet;S;S;Finalizada avaliada;Resolvida;4
S ;PR;Curitiba;F;entre 31 a 40 anos;2024-09-11;8;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Contrato / Oferta;Alteração de plano/contrato sem solicitação ou aviso prévio;Internet;S;S;Finalizada avaliada;Não Resolvida;1
SE;RJ;Saquarema;M;entre 41 a 50 anos;2024-09-13;5;Magazine Luiza - Loja Online;Comércio Eletrônico;Produtos de Telefonia e Informática;Aparelho celular;Entrega do Produto;Não entrega / demora na entrega do produto;Internet;S;S;Finalizada avaliada;Resolvida;5
SE;SP;Queluz;M;entre 21 a 30 anos;2024-09-13;3;Facebook / Instagram;Provedores de Conteúdo e Outros Serviços na Internet;Demais Serviços ;Serviços na internet (provedor, hospedagem, aplicativos, streaming, jogos etc);Vício de Qualidade;Suspensão ou desligamento indevido do serviço;Internet;S;S;Finalizada avaliada;Resolvida;5
NE;PE;Recife;M;entre 21 a 30 anos;2024-09-07;7;Claro Residencial;Operadoras de Telecomunicações (Telefonia, Internet, TV por assinatura);Telecomunicações;Pacote de Serviços ( Combo );Cobrança / Contestação;Dificuldade / atraso na devolução de valores pagos / reembolso / retenção de valores;Telefone;S;S;Finalizada avaliada;Resolvida;2
SE;RJ;Rio de Janeiro;M;entre 41 a 50 anos;2024-09-17;7;BrasilCard;Bancos, Financeiras e Administradoras de Cartão;Serviços Financeiros;Cartão de Crédito / Cartão de Débito / Cartão de Loja;Cobrança / Contestação;Cobrança de tarifas, taxas, valores não previstos / não informados;Loja física;S;S;Finalizada avaliada;Resolvida;1
